candidate_id,title,decision,reason_code,canonical_id,source_url,checked_at,notes
c001,Training Very Deep Networks,纳入,,neurips-2015-215a71a1,https://papers.nips.cc/paper_files/paper/2015/hash/215a71a12769b056c3c32e7299f1c5ed-Abstract.html,2026-08-13,门控 carry/transform 路径的直接前驱；正式 NeurIPS 论文
c002,Deep Residual Learning for Image Recognition,纳入,,doi:10.1109/CVPR.2016.90,https://openaccess.thecvf.com/content_cvpr_2016/html/He_Deep_Residual_Learning_CVPR_2016_paper.html,2026-08-13,基线与问题定义；正式 CVPR 论文
c003,Identity Mappings in Deep Residual Networks,纳入,,doi:10.1007/978-3-319-46493-0_38,https://arxiv.org/abs/1603.05027,2026-08-13,pre-activation 与纯恒等传播；正式 ECCV 版本优先
c004,Deep Networks with Stochastic Depth,纳入,,doi:10.1007/978-3-319-46493-0_39,https://arxiv.org/abs/1603.09382,2026-08-13,训练期随机丢弃残差分支；正式 ECCV 版本优先
c005,Weighted Residuals for Very Deep Networks,纳入,,doi:10.1109/ICSAI.2016.7811085,https://arxiv.org/abs/1605.08831,2026-08-13,学习残差组合权重；正式 ICSAI 论文但证据规模较小
c006,Residual Networks Behave Like Ensembles of Relatively Shallow Networks,纳入,,neurips-2016-37bc2f75,https://proceedings.neurips.cc/paper_files/paper/2016/hash/37bc2f75bf1bcfe8450a1a41c200364c-Abstract.html,2026-08-13,路径与消融机制诊断；作者结论需结合评审保守表述
c007,Swapout: Learning an Ensemble of Deep Architectures,纳入,,neurips-2016-c51ce410,https://proceedings.neurips.cc/paper_files/paper/2016/hash/c51ce410c124a10e0db5e4b97fc2af39-Abstract.html,2026-08-13,随机选择恒等和残差路径；正式 NeurIPS 论文
c008,Inception-v4 Inception-ResNet and the Impact of Residual Connections on Learning,纳入,,doi:10.1609/aaai.v31i1.11231,https://ojs.aaai.org/index.php/aaai/article/view/11231,2026-08-13,宽残差网络的激活缩放；正式 AAAI 论文
c009,Residual Networks of Residual Networks: Multilevel Residual Networks,纳入,,doi:10.1109/TCSVT.2017.2654543,https://arxiv.org/abs/1608.02908,2026-08-13,增加层级 shortcut；期刊正式版本与预印本同族
c010,Deep Pyramidal Residual Networks,纳入,,doi:10.1109/CVPR.2017.668,https://openaccess.thecvf.com/content_cvpr_2017/html/Han_Deep_Pyramidal_Residual_CVPR_2017_paper.html,2026-08-13,逐块增加通道并重审 projection 边界；正式 CVPR 论文
c011,FractalNet: Ultra-Deep Neural Networks without Residuals,纳入,,openreview:S1VaB4cex,https://openreview.net/forum?id=S1VaB4cex,2026-08-13,无恒等捷径的直接反证/替代；ICLR 2017 主会
c012,PolyNet: A Pursuit of Structural Diversity in Very Deep Networks,纳入,,arxiv:1611.05725,https://openaccess.thecvf.com/content_cvpr_2017/html/Zhang_PolyNet_A_Pursuit_CVPR_2017_paper.html,2026-08-13,把 I+F 扩展为多项式组合；正式 CVPR 论文
c013,Residual Attention Network for Image Classification,排除,范围外,cvpr-2017-wang-residual-attention,https://openaccess.thecvf.com/content_cvpr_2017/html/Wang_Residual_Attention_Network_CVPR_2017_paper.html,2026-08-13,最终裁决：主要改变 trunk-mask 特征注意力而非块级 shortcut 合并原则
c014,Spatially Adaptive Computation Time for Residual Networks,纳入,,cvpr-2017-figurnov-sact,https://openaccess.thecvf.com/content_cvpr_2017/html/Figurnov_Spatially_Adaptive_Computation_CVPR_2017_paper.html,2026-08-13,空间位置级停止/继续残差计算；正式 CVPR 论文
c015,Densely Connected Convolutional Networks,排除,范围外,cvpr-2017-huang-densenet,https://openaccess.thecvf.com/content_cvpr_2017/html/Huang_Densely_Connected_Convolutional_CVPR_2017_paper.html,2026-08-13,最终裁决：属于 ResNet 的相邻替代谱系；只在报告边界说明中保留
c016,Dual Path Networks,纳入,,neurips-2017-f7e0b956,https://proceedings.neurips.cc/paper/2017/hash/f7e0b956540676a129760a3eae309294-Abstract.html,2026-08-13,残差复用与稠密新特征双路合并；正式 NeurIPS 论文
c017,The Shattered Gradients Problem: If resnets are the answer then what is the question?,纳入,,pmlr-v70-balduzzi17b,https://proceedings.mlr.press/v70/balduzzi17b.html,2026-08-13,给出梯度相关性而非仅梯度幅度的机制解释；正式 ICML 论文
c018,The Reversible Residual Network: Backpropagation Without Storing Activations,纳入,,neurips-2017-f9be311e,https://proceedings.neurips.cc/paper/2017/hash/f9be311e65d81a9ad8150a60844bb94c-Abstract.html,2026-08-13,additive coupling 可逆块与深度无关激活存储；正式 NeurIPS 论文
c019,Shake-Shake Regularization of 3-Branch Residual Networks,纳入,,openreview:HkO-PCmYl,https://openreview.net/forum?id=HkO-PCmYl,2026-08-13,随机仿射合并多残差分支；ICLR 2017 workshop 不按主会标注
c020,Learning Strict Identity Mappings in Deep Residual Networks,纳入,,arxiv:1804.01661,https://openaccess.thecvf.com/content_cvpr_2018/html/Yu_Learning_Strict_Identity_CVPR_2018_paper.html,2026-08-13,epsilon 阈值使小残差块成为严格恒等并可剪枝；正式 CVPR 论文
c021,Deep Layer Aggregation,纳入,,cvpr-2018-yu-dla,https://openaccess.thecvf.com/content_cvpr_2018/html/Yu_Deep_Layer_Aggregation_CVPR_2018_paper.html,2026-08-13,迭代和层次聚合跨层 skip；正式 CVPR 论文
c022,Squeeze-and-Excitation Networks,排除,范围外,cvpr-2018-hu-senet,https://openaccess.thecvf.com/content_cvpr_2018/html/Hu_Squeeze-and-Excitation_Networks_CVPR_2018_paper,2026-08-13,最终裁决：调制残差分支特征而不改变 identity shortcut 或两路合并规则
c023,Skip Connections Eliminate Singularities,纳入,,openreview:HkwBEMWCZ,https://openreview.net/forum?id=HkwBEMWCZ,2026-08-13,损失面奇异性机制诊断；ICLR 2018 主会
c024,Residual Connections Encourage Iterative Inference,纳入,,openreview:SJa9iHgAZ,https://openreview.net/forum?id=SJa9iHgAZ,2026-08-13,迭代特征修正诊断；ICLR 2018 主会
c025,ShakeDrop Regularization for Deep Residual Learning,纳入,,doi:10.1109/ACCESS.2019.2960566,https://doi.org/10.1109/ACCESS.2019.2960566,2026-08-13,主实体采用 IEEE Access 2019 正式扩展版；ICLR 2018 workshop 和早期 arXiv 为前身
c026,SkipNet: Learning Dynamic Routing in Convolutional Networks,纳入,,doi:10.1007/978-3-030-01261-8_25,https://openaccess.thecvf.com/content_ECCV_2018/html/Xin_Wang_SkipNet_Learning_Dynamic_ECCV_2018_paper.html,2026-08-13,输入级门控选择是否跳过残差块；正式 ECCV 论文
c027,ReSet: Recurrent Dynamic Routing in ResNets,排除,覆盖冗余,pmlr-v95-kemaev18a,https://proceedings.mlr.press/v95/kemaev18a.html,2026-08-13,机制相关但主图已由 BlockDrop、SkipNet、ConvNet-AIG 与 Adaptive Depth 覆盖动态路由谱系
c028,i-RevNet: Deep Invertible Networks,纳入,,openreview:HJsjkMb0Z,https://openreview.net/forum?id=HJsjkMb0Z,2026-08-13,全网信息保持的可逆卷积构造；ICLR 2018 主会
c029,How to Start Training: The Effect of Initialization and Architecture,纳入,,neurips-2018-d81f9c1b,https://proceedings.neurips.cc/paper_files/paper/2018/hash/d81f9c1be2e08964bf9f24b15f0e4900-Abstract.html,2026-08-13,证明残差模块缩放影响初始训练；正式 NeurIPS 论文
c030,Fixup Initialization: Residual Learning Without Normalization,纳入,,openreview:H1gsz30cKX,https://openreview.net/forum?id=H1gsz30cKX,2026-08-13,按深度缩放并零初始化末层；ICLR 2019 主会
c031,Dynamical Isometry is Achieved in Residual Networks in a Universal Way for any Activation Function,排除,覆盖冗余,pmlr-v89-tarnowski19a,https://proceedings.mlr.press/v89/tarnowski19a.html,2026-08-13,正式理论工作但不定义新的连接干预；相关机制由 Stable ResNet 与大深度缩放条目覆盖
c032,Bag of Tricks for Image Classification with Convolutional Neural Networks,纳入,,cvpr-2019-he-bag-tricks,https://openaccess.thecvf.com/content_CVPR_2019/html/He_Bag_of_Tricks_for_Image_Classification_with_Convolutional_Neural_Networks_CVPR_2019_paper.html,2026-08-13,ResNet-D 用平均池化保护 shortcut 下采样信息；正式 CVPR 论文
c033,Invertible Residual Networks,纳入,,pmlr-v97-behrmann19a,https://proceedings.mlr.press/v97/behrmann19a.html,2026-08-13,Lipschitz 约束使标准 x+g(x) 可逆；ICML 2019 正式论文
c034,Residual Flows for Invertible Generative Modeling,排除,范围外,neurips-2019-5d0d5594,https://proceedings.neurips.cc/paper_files/paper/2019/hash/5d0d5594d24f0f955548f0fc0ff83d10-Abstract.html,2026-08-13,面向生成密度估计与 log-determinant；分类 ResNet 的可逆连接问题已由 i-ResNet 覆盖
c035,Skip Connections Matter: On the Transferability of Adversarial Examples Generated with ResNets,排除,范围外,openreview:BJlRs34Fvr,https://openreview.net/forum?id=BJlRs34Fvr,2026-08-13,安全风险诊断而非连接改进，且不是本地图的共同评测主线
c036,Approximation Capabilities of Neural ODEs and Invertible Residual Networks,纳入,,pmlr-v119-zhang20h,https://proceedings.mlr.press/v119/zhang20h.html,2026-08-13,i-ResNet 原生近似能力限制与增维修复；ICML 2020 正式论文
c037,Batch Normalization Biases Residual Blocks Towards the Identity Function in Deep Networks,纳入,,neurips-2020-e6b738ec,https://proceedings.neurips.cc/paper/2020/hash/e6b738eca0e6792ba8a9cbcba6c1881d-Abstract.html,2026-08-13,SkipInit 与 BN 的残差支路缩放解释；正式 NeurIPS 论文
c038,Characterizing Signal Propagation to Close the Performance Gap in Unnormalized ResNets,纳入,,openreview:IX3Nnir2omJ,https://openreview.net/forum?id=IX3Nnir2omJ,2026-08-13,NF-ResNet 的无归一化信号传播设计；ICLR 2021 主会
c039,ReZero Is All You Need: Fast Convergence at Large Depth,纳入,,pmlr-v161-bachlechner21a,https://proceedings.mlr.press/v161/bachlechner21a.html,2026-08-13,零初始化可学习残差门；UAI 2021 正式论文且含 ResNet 图像实验
c040,Stable ResNet,纳入,,pmlr-v130-hayou21a,https://proceedings.mlr.press/v130/hayou21a.html,2026-08-13,深度相关残差缩放稳定梯度与极限表达性；AISTATS 2021 正式论文
c041,Res2Net: A New Multi-scale Backbone Architecture,排除,范围外,doi:10.1109/TPAMI.2019.2938758,https://arxiv.org/abs/1904.01169,2026-08-13,最终裁决：主要改变 F(x) 内部多尺度层级结构而非块级 shortcut
c042,Width and Depth Limits Commute in Residual Networks,排除,覆盖冗余,pmlr-v202-hayou23a,https://proceedings.mlr.press/v202/hayou23a.html,2026-08-13,理论延伸有价值但不定义新的连接机制；由 Stable ResNet 与 JMLR 大深度缩放条目覆盖
c043,Residual Alignment: Uncovering the Mechanisms of Residual Networks,纳入,,neurips-2023-b3f48945,https://proceedings.neurips.cc/paper_files/paper/2023/hash/b3f48945f6fb402b4b5cdcf490e72847-Abstract-Conference.html,2026-08-13,较新 ResNet 专属机制诊断；正式 NeurIPS 论文
