claim_id,claim_text,paper_id,evidence_location,V,D,P,Q,audit_status,notes
CLM-001,"原始 ResNet 直接针对深层普通网络训练误差上升的优化退化问题，不能简化为原论文证明其消除了梯度消失。",resnet-2016,"正文第 3 节；ImageNet 与 CIFAR 表",V3,D2,P3,Q2,verified,"限定为原论文可支持的表述。"
CLM-002,"pre-activation 把归一化与激活移到权重层之前，使块间加法后路径更接近严格恒等；其消融显示门控或投影捷径会妨碍信息传播。",identity-mappings-2016,"正文公式与 Table 1",V3,D3,P3,Q3,verified,"结论受当时网络与数据设置限制。"
CLM-003,"ResNet-D 在 B+C 累积消融上的可识别边际约为 0.29 个 top-1 点，而非把整个 B+C+D 的约 0.95 点都归因于 D。",resnet-d-2019,"第 4.2 节；Figure 2；Table 5",V3,D2,P2,Q2,verified-caveated,"没有 baseline+D-only，也没有多随机种子。"
CLM-004,"适度低通关键下采样路径可改善平移一致性和准确率，但 BlurPool 原论文没有 shortcut-only 消融。",blurpool-2019,"第 3 节；Figure 6；Table 2；官方 resnet.py",V3,D2,P3,Q2,verified-caveated,"属于连接与全网抗混叠混合干预。"
CLM-005,"抗混叠并非越强越好：全层大核低通可把 ImageNet top-1 降至约 68%，pre+post 配置可降至约 61.5%。",critical-path-aliasing-2021,"第 3 至 4.3 节；Tables 1–2",V3,D3,P3,Q3,verified,"这是放置和带宽选择的直接反例。"
CLM-006,"Fixup 证明无归一化残差网可以训练到极深，但 ImageNet ResNet-50 的 Fixup-alone error 27.6，明显差于 BN 的 23.6。",fixup-2019,"第 3 节；Figure 3；Tables 1–2",V3,D2,P2,Q3,verified,"可优化不等于泛化追平。"
CLM-007,"SkipInit 表明残差分支初始接近零是深度稳定的关键之一，并反证 Fixup 的最后层置零和深度缩放并非必须同时存在。",skipinit-2020,"理论推导；Table 1；Figure 3；Fixup 复核",V3,D3,P2,Q3,verified,"主要证据来自 CIFAR 与 ResNet-v2。"
CLM-008,"ReZero 的收益不单调：补充实验中 ResNet-56 error 从 6.27 变为 6.58，而更深 pre-activation 模型多数改善。",rezero-2021,"补充 D.7、E；Table 2",V3,D2,P2,Q3,verified,"CNN 证据主要限于 CIFAR，且对默认初始化版本敏感。"
CLM-009,"NF-ResNet 在五随机种子 ImageNet 比较中略高于对应 BN，但未正则化 NF-ResNet-288 五次有两次训练崩溃。",nf-resnet-2021,"信号传播推导；Tables 1–2",V3,D2,P2,Q3,verified,"多个配套机制强耦合，不能归因于单一缩放。"
CLM-010,"RescaleNet 的跨任务结果支持分层缩放可替代部分归一化作用，但最终系统包含多项配套，缺少连接单因素归因。",rescalenet-2020,"RescaleNet 方程；ImageNet、COCO、Kinetics、WMT 表",V3,D2,P3,Q2,verified-caveated,"跨任务仍主要来自作者实现。"
CLM-011,"Orthogonal Residual Update 在小型 CNN 基准多数改善，但 ResNetV2-50 的 CIFAR-10 结果略差，并有约 3% 至 13% 吞吐开销。",orthogonal-residual-update-2025,"第 3 节；Tables 1–2；第 4 节",V3,D2,P2,Q3,verified,"CNN-ResNet 没有 ImageNet-1k 证据，故只列 E1。"
CLM-012,"Stochastic Depth 的同 90 epoch ImageNet 结果 23.38 略差于 baseline 23.06，延长训练后才改善。",stochastic-depth-2016,"第 3 节；Figure 2；ImageNet 表",V3,D2,P2,Q2,verified,"不能称为无额外预算的普遍增益。"
CLM-013,"Shake-Shake 的代表论文为正式 workshop 版本，不应误标为 ICLR 主会正式论文。",shake-shake-2017,"OpenReview 版本页与论文正文",V3,D1,P1,Q2,verified,"出版状态与机制证据分开记录。"
CLM-014,"ShakeDrop 主实体采用 IEEE Access 2019 正式扩展版，而非把早期 workshop 前身当作最终版本。",shakedrop-2019,"DOI 元数据与正式正文",V3,D2,P3,Q2,verified,"版本族已在筛选账本去重。"
CLM-015,"BlockDrop 在 ResNet-101 ImageNet 上保持 76.4% top-1 时报告平均约 20% 加速，并计入策略开销。",blockdrop-2018,"第 3 节；Figure 3；Table 2",V3,D2,P2,Q2,verified-caveated,"依赖预训练、强化学习和课程学习。"
CLM-016,"SkipNet 的 soft 到 hard 路由失配可使结果由约 90.83 跌至 66.67，训练时间通常还增加约 30% 至 40%。",skipnet-2018,"第 3 节；Table 3；训练与计算分析",V3,D2,P2,Q2,verified,"动态稀疏的 FLOPs 降低不能直接等同墙钟收益。"
CLM-017,"RoR 的三级层级通常最好，继续增加到四级或五级可能低于基线。",ror-2018,"第 3 节；层级与 shortcut 消融",V3,D2,P2,Q1,verified-caveated,"部分最好结果与 stochastic depth 联合，归因混杂。"
CLM-018,"PolyNet 的结构替换通常改善，但随机初始化不稳，过早引入随机路径会妨碍收敛。",polynet-2017,"Figure 4；第 3.2 节；Figures 9–10",V3,D2,P2,Q1,verified-caveated,"最终结果还含 Inception 宏结构和多尺度测试。"
CLM-019,"RevNet 用可逆耦合把深度相关激活存储换成重计算，ImageNet 精度接近 ResNet，但通用实现计算约增至 1.5 至 2 倍。",revnet-2017,"第 2 节方程；ImageNet Table 4",V3,D2,P3,Q3,verified,"下采样与首尾层仍不可逆。"
CLM-020,"i-ResNet 的 Lipschitz 小于 1 条件提供普通 residual map 的可逆充分条件，但更强约束会损伤精度，迭代求逆约为前向的 5 至 20 倍。",invertible-resnet-2019,"可逆定理；Tables 2、4；反演时间",V3,D2,P3,Q2,verified,"充分条件保守，log-determinant 估计还可能有截断偏差。"
CLM-021,"代数可逆不等于数值稳定：无正则模型可出现 7.2×10^4 条件数，仿射版本可达 8.6×10^14 并产生无穷重构误差。",exploding-inverses-2021,"理论与压力测试；Table 2",V3,D3,P3,Q3,verified,"正则化可缓解但增加计算。"
CLM-022,"Momentum ResNet 的闭式逆仍需 bit buffer；CIFAR-100 约低 0.5 点，ImageNet 与基线仍有约 1 点以内差距。",momentum-resnet-2021,"更新与逆方程；Tables 1–2；ImageNet Figure 6",V3,D2,P2,Q3,verified,"可逆不等于零存储或同延迟。"
CLM-023,"同维可逆残差网络存在拓扑近似限制，增广维度或加入非可逆 linear cap 可解除部分失败。",invertible-approximation-limits-2020,"主要定理；增广实验",V3,D2,P2,Q2,verified,"存在性结论不直接预测有限数据精度。"
CLM-024,"残差网络可展开为许多共享参数路径，但非线性下不能严格称为指数多个相互独立的浅层集成。",ensemble-view-2016,"路径展开；lesion；梯度图；正式评审",V3,D2,P2,Q2,verified-caveated,"保留启发式解释，拒绝过强等价。"
CLM-025,"Gauss–Newton 条件数工作的残差结论主要来自深线性模型，ResNet-20 经验诊断只使用约 1000 个 CIFAR 样本。",gauss-newton-conditioning-2024,"残差定理；卷积延伸；CIFAR 子集图",V3,D2,P2,Q1,verified-caveated,"不能外推为 ImageNet 准确率结论。"
CLM-026,"Residual Alignment 的 RA1 至 RA4 在多个设置出现，移除 skip 后现象停止，但它不是所有成功 ResNet 的充要条件。",residual-alignment-2023,"RA1–RA4；Jacobian 与表示实验；no-skip 对照",V3,D2,P2,Q2,verified-caveated,"缺少跨连接方法的独立统一复现。"
CLM-027,"Residual Distillation 支持训练阶段需要捷径而部署阶段可移除的解耦思路，但不证明普通网络从头训练能够替代 ResNet。",residual-distillation-2020,"方法框架；ImageNet/CIFAR；效率表；迁移实验",V3,D2,P3,Q1,verified-caveated,"效率数字来自作者，尚缺独立系统复现。"
CLM-028,"DPN、DLA 等聚合网络的结果同时受主干、宽度和聚合形式影响，不能把全部收益归因于 residual merge。",dpn-2017,"架构定义；ImageNet 与检测表",V3,D1,P3,Q1,verified-caveated,"按桥接条目处理，不作连接单因素结论。"
CLM-029,"Residual Alignment、Gauss–Newton 与 shortcut 收敛理论从不同角度解释捷径，但没有单一理论覆盖非线性、归一化、有限宽度和现代训练配方。",shortcut-importance-2019,"主要定理与假设；跨论文审计",V3,D2,P2,Q1,verified-caveated,"理论适用域必须逐项标注。"
CLM-030,"当前未找到同时覆盖主要连接路线、现代训练配方、匹配参数与算力、多个随机种子、ImageNet 及墙钟指标的独立统一复现。",nf-resnet-2021,"跨语料复现审计；检索账本第 11、12 轮",V3,D0,P2,Q1,audited-gap,"这是语料级缺口，不是单篇论文的实验结论。"
